Zeit;Brentanoschule (kWh);Stadbibliothek (kWh);F.A.N Frankenstolz Arena (kWh);Rathaus (kWh)
2019; 102.000,00 ; 102.759,00 ; 167.886,50 ; 373.140,00 
2020; 93.400,00 ; 76.290,00 ; 133.550,10 ; 337.614,00 
2021; 81.800,00 ; 88.377,00 ; 135.894,00 ; 307.560,00 
2022; 91.200,00 ; 98.158,00 ; 155.752,00 ; 300.840,00 
2023; 83.400,00 ; 106.096,00 ; 162.009,00 ; 312.420,00 
